#    L    TT             EE             TE             PP             TP          
  1775   0.368286E+03   0.634444E+01  -0.150295E+02   0.719170E+05   0.256659E+01
  1776   0.367600E+03   0.631562E+01  -0.147060E+02   0.718319E+05   0.259855E+01
  1777   0.366877E+03   0.628890E+01  -0.143851E+02   0.717469E+05   0.263107E+01
  1778   0.366146E+03   0.626399E+01  -0.140645E+02   0.716621E+05   0.266415E+01
  1779   0.365392E+03   0.624112E+01  -0.137457E+02   0.715774E+05   0.269778E+01
  1780   0.364624E+03   0.622013E+01  -0.134280E+02   0.714929E+05   0.273194E+01
  1781   0.363840E+03   0.620103E+01  -0.131121E+02   0.714085E+05   0.276664E+01
  1782   0.363019E+03   0.618390E+01  -0.127981E+02   0.713242E+05   0.280186E+01
  1783   0.362190E+03   0.616866E+01  -0.124858E+02   0.712401E+05   0.283759E+01
  1784   0.361353E+03   0.615524E+01  -0.121746E+02   0.711561E+05   0.287383E+01
  1785   0.360486E+03   0.614380E+01  -0.118667E+02   0.710722E+05   0.291058E+01
  1786   0.359603E+03   0.613418E+01  -0.115606E+02   0.709885E+05   0.294781E+01
  1787   0.358705E+03   0.612654E+01  -0.112563E+02   0.709049E+05   0.298553E+01
  1788   0.357792E+03   0.612066E+01  -0.109560E+02   0.708215E+05   0.302373E+01
  1789   0.356856E+03   0.611661E+01  -0.106568E+02   0.707382E+05   0.306239E+01
  1790   0.355897E+03   0.611440E+01  -0.103609E+02   0.706550E+05   0.310151E+01
  1791   0.354930E+03   0.611395E+01  -0.100683E+02   0.705720E+05   0.314109E+01
  1792   0.353947E+03   0.611534E+01  -0.977755E+01   0.704891E+05   0.318111E+01
  1793   0.352934E+03   0.611850E+01  -0.949004E+01   0.704063E+05   0.322156E+01
  1794   0.351920E+03   0.612335E+01  -0.920583E+01   0.703237E+05   0.326245E+01
  1795   0.350890E+03   0.613013E+01  -0.892491E+01   0.702412E+05   0.330375E+01
  1796   0.349815E+03   0.613853E+01  -0.864654E+01   0.701589E+05   0.334547E+01
  1797   0.348761E+03   0.614857E+01  -0.837220E+01   0.700767E+05   0.338759E+01
  1798   0.347677E+03   0.616030E+01  -0.810041E+01   0.699946E+05   0.343011E+01
  1799   0.346576E+03   0.617382E+01  -0.783265E+01   0.699126E+05   0.347302E+01
  1800   0.345468E+03   0.618898E+01  -0.756893E+01   0.698308E+05   0.351631E+01
  1801   0.344350E+03   0.620570E+01  -0.730819E+01   0.697491E+05   0.355997E+01
  1802   0.343225E+03   0.622399E+01  -0.705165E+01   0.696676E+05   0.360400E+01
  1803   0.342076E+03   0.624391E+01  -0.679945E+01   0.695862E+05   0.364838E+01
  1804   0.340903E+03   0.626534E+01  -0.655019E+01   0.695049E+05   0.369311E+01
  1805   0.339722E+03   0.628841E+01  -0.630544E+01   0.694237E+05   0.373818E+01
  1806   0.338540E+03   0.631305E+01  -0.606476E+01   0.693427E+05   0.378357E+01
  1807   0.337335E+03   0.633919E+01  -0.582837E+01   0.692618E+05   0.382929E+01
  1808   0.336121E+03   0.636661E+01  -0.559608E+01   0.691811E+05   0.387532E+01
  1809   0.334898E+03   0.639539E+01  -0.536824E+01   0.691005E+05   0.392165E+01
  1810   0.333667E+03   0.642575E+01  -0.514487E+01   0.690200E+05   0.396828E+01
  1811   0.332413E+03   0.645747E+01  -0.492591E+01   0.689396E+05   0.401519E+01
  1812   0.331157E+03   0.649063E+01  -0.471166E+01   0.688594E+05   0.406238E+01
  1813   0.329893E+03   0.652508E+01  -0.450197E+01   0.687793E+05   0.410984E+01
  1814   0.328612E+03   0.656082E+01  -0.429701E+01   0.686993E+05   0.415756E+01
  1815   0.327331E+03   0.659785E+01  -0.409678E+01   0.686195E+05   0.420553E+01
  1816   0.326041E+03   0.663610E+01  -0.390150E+01   0.685397E+05   0.425374E+01
  1817   0.324735E+03   0.667558E+01  -0.371090E+01   0.684602E+05   0.430219E+01
  1818   0.323420E+03   0.671628E+01  -0.352528E+01   0.683807E+05   0.435086E+01
  1819   0.322081E+03   0.675828E+01  -0.334471E+01   0.683014E+05   0.439975E+01
  1820   0.320757E+03   0.680121E+01  -0.316913E+01   0.682222E+05   0.444884E+01
  1821   0.319431E+03   0.684537E+01  -0.299863E+01   0.681431E+05   0.449814E+01
  1822   0.318089E+03   0.689055E+01  -0.283327E+01   0.680642E+05   0.454762E+01
  1823   0.316767E+03   0.693688E+01  -0.267308E+01   0.679853E+05   0.459729E+01
  1824   0.315415E+03   0.698393E+01  -0.251799E+01   0.679067E+05   0.464713E+01
  1825   0.314062E+03   0.703192E+01  -0.236829E+01   0.678281E+05   0.469713E+01
  1826   0.312700E+03   0.708167E+01  -0.222378E+01   0.677497E+05   0.474729E+01
  1827   0.311344E+03   0.713200E+01  -0.208453E+01   0.676714E+05   0.479759E+01
  1828   0.309972E+03   0.718312E+01  -0.195070E+01   0.675932E+05   0.484804E+01
  1829   0.308599E+03   0.723430E+01  -0.182216E+01   0.675151E+05   0.489861E+01
  1830   0.307224E+03   0.728777E+01  -0.169897E+01   0.674372E+05   0.494930E+01
  1831   0.305848E+03   0.734130E+01  -0.158123E+01   0.673594E+05   0.500011E+01
  1832   0.304463E+03   0.739563E+01  -0.146894E+01   0.672817E+05   0.505101E+01
  1833   0.303084E+03   0.745077E+01  -0.136196E+01   0.672041E+05   0.510202E+01
  1834   0.301704E+03   0.750598E+01  -0.126067E+01   0.671267E+05   0.515310E+01
  1835   0.300315E+03   0.756275E+01  -0.116455E+01   0.670494E+05   0.520427E+01
  1836   0.298924E+03   0.762107E+01  -0.107414E+01   0.669722E+05   0.525550E+01
  1837   0.297540E+03   0.767798E+01  -0.989145E+00   0.668951E+05   0.530680E+01
  1838   0.296154E+03   0.773644E+01  -0.909717E+00   0.668182E+05   0.535814E+01
  1839   0.294760E+03   0.779573E+01  -0.835718E+00   0.667414E+05   0.540953E+01
  1840   0.293378E+03   0.785435E+01  -0.767304E+00   0.666647E+05   0.546095E+01
  1841   0.291996E+03   0.791454E+01  -0.704333E+00   0.665881E+05   0.551239E+01
  1842   0.290612E+03   0.797481E+01  -0.646888E+00   0.665117E+05   0.556385E+01
  1843   0.289226E+03   0.803517E+01  -0.594976E+00   0.664354E+05   0.561532E+01
  1844   0.287847E+03   0.809635E+01  -0.548455E+00   0.663592E+05   0.566679E+01
  1845   0.286488E+03   0.815762E+01  -0.507482E+00   0.662831E+05   0.571824E+01
  1846   0.285105E+03   0.821972E+01  -0.471841E+00   0.662071E+05   0.576968E+01
  1847   0.283736E+03   0.828192E+01  -0.441837E+00   0.661313E+05   0.582109E+01
  1848   0.282365E+03   0.834421E+01  -0.417106E+00   0.660555E+05   0.587246E+01
  1849   0.281001E+03   0.840659E+01  -0.397804E+00   0.659799E+05   0.592379E+01
  1850   0.279642E+03   0.846908E+01  -0.383863E+00   0.659045E+05   0.597507E+01
  1851   0.278266E+03   0.853240E+01  -0.375292E+00   0.658291E+05   0.602628E+01
  1852   0.276927E+03   0.859657E+01  -0.372098E+00   0.657539E+05   0.607743E+01
  1853   0.275571E+03   0.865935E+01  -0.374139E+00   0.656787E+05   0.612851E+01
  1854   0.274228E+03   0.872222E+01  -0.381571E+00   0.656037E+05   0.617950E+01
  1855   0.272892E+03   0.878446E+01  -0.394179E+00   0.655288E+05   0.623042E+01
  1856   0.271568E+03   0.884753E+01  -0.411896E+00   0.654541E+05   0.628124E+01
  1857   0.270244E+03   0.891145E+01  -0.434878E+00   0.653794E+05   0.633197E+01
  1858   0.268925E+03   0.897397E+01  -0.462983E+00   0.653049E+05   0.638261E+01
  1859   0.267620E+03   0.903734E+01  -0.496294E+00   0.652305E+05   0.643314E+01
  1860   0.266313E+03   0.909932E+01  -0.534520E+00   0.651562E+05   0.648356E+01
  1861   0.265028E+03   0.916214E+01  -0.577891E+00   0.650820E+05   0.653387E+01
  1862   0.263748E+03   0.922431E+01  -0.626118E+00   0.650080E+05   0.658406E+01
  1863   0.262460E+03   0.928657E+01  -0.679208E+00   0.649340E+05   0.663413E+01
  1864   0.261200E+03   0.934968E+01  -0.737243E+00   0.648602E+05   0.668406E+01
  1865   0.259938E+03   0.941140E+01  -0.800081E+00   0.647865E+05   0.673387E+01
  1866   0.258698E+03   0.947247E+01  -0.867729E+00   0.647129E+05   0.678353E+01
  1867   0.257449E+03   0.953363E+01  -0.939899E+00   0.646394E+05   0.683305E+01
  1868   0.256221E+03   0.959415E+01  -0.101689E+01   0.645660E+05   0.688242E+01
  1869   0.255007E+03   0.965402E+01  -0.109835E+01   0.644928E+05   0.693163E+01
  1870   0.253799E+03   0.971398E+01  -0.118450E+01   0.644196E+05   0.698069E+01
  1871   0.252597E+03   0.977404E+01  -0.127497E+01   0.643466E+05   0.702958E+01
  1872   0.251417E+03   0.983270E+01  -0.137001E+01   0.642737E+05   0.707830E+01
  1873   0.250242E+03   0.989146E+01  -0.146931E+01   0.642009E+05   0.712684E+01
  1874   0.249081E+03   0.994883E+01  -0.157295E+01   0.641283E+05   0.717520E+01
  1875   0.247935E+03   0.100063E+02  -0.168081E+01   0.640557E+05   0.722338E+01
  1876   0.246794E+03   0.100631E+02  -0.179274E+01   0.639832E+05   0.727137E+01
  1877   0.245667E+03   0.101193E+02  -0.190881E+01   0.639109E+05   0.731916E+01
  1878   0.244546E+03   0.101740E+02  -0.202889E+01   0.638387E+05   0.736675E+01
  1879   0.243447E+03   0.102281E+02  -0.215276E+01   0.637666E+05   0.741413E+01
  1880   0.242362E+03   0.102816E+02  -0.228065E+01   0.636946E+05   0.746130E+01
  1881   0.241290E+03   0.103344E+02  -0.241221E+01   0.636227E+05   0.750826E+01
  1882   0.240225E+03   0.103873E+02  -0.254742E+01   0.635509E+05   0.755499E+01
  1883   0.239181E+03   0.104381E+02  -0.268631E+01   0.634792E+05   0.760150E+01
  1884   0.238151E+03   0.104897E+02  -0.282873E+01   0.634077E+05   0.764777E+01
  1885   0.237135E+03   0.105392E+02  -0.297469E+01   0.633362E+05   0.769381E+01
  1886   0.236125E+03   0.105887E+02  -0.312390E+01   0.632649E+05   0.773960E+01
  1887   0.235129E+03   0.106369E+02  -0.327658E+01   0.631937E+05   0.778515E+01
  1888   0.234162E+03   0.106836E+02  -0.343238E+01   0.631226E+05   0.783045E+01
  1889   0.233195E+03   0.107298E+02  -0.359138E+01   0.630516E+05   0.787549E+01
  1890   0.232248E+03   0.107752E+02  -0.375351E+01   0.629807E+05   0.792026E+01
  1891   0.231323E+03   0.108200E+02  -0.391847E+01   0.629099E+05   0.796477E+01
  1892   0.230405E+03   0.108634E+02  -0.408651E+01   0.628393E+05   0.800900E+01
  1893   0.229501E+03   0.109062E+02  -0.425718E+01   0.627687E+05   0.805296E+01
  1894   0.228618E+03   0.109475E+02  -0.443048E+01   0.626982E+05   0.809663E+01
  1895   0.227742E+03   0.109882E+02  -0.460651E+01   0.626279E+05   0.814001E+01
  1896   0.226887E+03   0.110283E+02  -0.478511E+01   0.625577E+05   0.818310E+01
  1897   0.226054E+03   0.110662E+02  -0.496616E+01   0.624875E+05   0.822589E+01
  1898   0.225227E+03   0.111034E+02  -0.514972E+01   0.624175E+05   0.826838E+01
  1899   0.224423E+03   0.111400E+02  -0.533544E+01   0.623476E+05   0.831056E+01
  1900   0.223624E+03   0.111745E+02  -0.552347E+01   0.622778E+05   0.835242E+01
  1901   0.222848E+03   0.112083E+02  -0.571374E+01   0.622081E+05   0.839397E+01
  1902   0.222093E+03   0.112407E+02  -0.590596E+01   0.621385E+05   0.843519E+01
  1903   0.221345E+03   0.112716E+02  -0.609983E+01   0.620691E+05   0.847608E+01
  1904   0.220633E+03   0.113027E+02  -0.629506E+01   0.619997E+05   0.851665E+01
  1905   0.219907E+03   0.113316E+02  -0.649283E+01   0.619304E+05   0.855689E+01
  1906   0.219209E+03   0.113592E+02  -0.669241E+01   0.618613E+05   0.859679E+01
  1907   0.218533E+03   0.113867E+02  -0.689230E+01   0.617922E+05   0.863635E+01
  1908   0.217871E+03   0.114122E+02  -0.709473E+01   0.617233E+05   0.867558E+01
  1909   0.217216E+03   0.114362E+02  -0.729749E+01   0.616544E+05   0.871446E+01
  1910   0.216584E+03   0.114603E+02  -0.750205E+01   0.615857E+05   0.875299E+01
  1911   0.215973E+03   0.114822E+02  -0.770841E+01   0.615170E+05   0.879117E+01
  1912   0.215376E+03   0.115028E+02  -0.791436E+01   0.614485E+05   0.882900E+01
  1913   0.214802E+03   0.115218E+02  -0.812136E+01   0.613801E+05   0.886648E+01
  1914   0.214234E+03   0.115395E+02  -0.832944E+01   0.613118E+05   0.890359E+01
  1915   0.213689E+03   0.115565E+02  -0.853857E+01   0.612435E+05   0.894035E+01
  1916   0.213151E+03   0.115721E+02  -0.874803E+01   0.611754E+05   0.897674E+01
  1917   0.212642E+03   0.115855E+02  -0.895856E+01   0.611074E+05   0.901276E+01
  1918   0.212141E+03   0.115989E+02  -0.916942E+01   0.610395E+05   0.904841E+01
  1919   0.211661E+03   0.116102E+02  -0.938059E+01   0.609717E+05   0.908368E+01
  1920   0.211197E+03   0.116201E+02  -0.959210E+01   0.609040E+05   0.911858E+01
  1921   0.210739E+03   0.116292E+02  -0.980319E+01   0.608364E+05   0.915310E+01
  1922   0.210312E+03   0.116362E+02  -0.100146E+02   0.607689E+05   0.918723E+01
  1923   0.209891E+03   0.116425E+02  -0.102256E+02   0.607015E+05   0.922098E+01
  1924   0.209478E+03   0.116473E+02  -0.104369E+02   0.606343E+05   0.925434E+01
  1925   0.209103E+03   0.116500E+02  -0.106486E+02   0.605671E+05   0.928730E+01
  1926   0.208727E+03   0.116527E+02  -0.108591E+02   0.605000E+05   0.931987E+01
  1927   0.208358E+03   0.116539E+02  -0.110707E+02   0.604330E+05   0.935205E+01
  1928   0.208027E+03   0.116537E+02  -0.112789E+02   0.603661E+05   0.938382E+01
  1929   0.207696E+03   0.116521E+02  -0.114889E+02   0.602994E+05   0.941518E+01
  1930   0.207388E+03   0.116490E+02  -0.116970E+02   0.602327E+05   0.944614E+01
  1931   0.207102E+03   0.116437E+02  -0.119047E+02   0.601661E+05   0.947669E+01
  1932   0.206823E+03   0.116384E+02  -0.121113E+02   0.600996E+05   0.950682E+01
  1933   0.206560E+03   0.116310E+02  -0.123174E+02   0.600332E+05   0.953654E+01
  1934   0.206312E+03   0.116228E+02  -0.125224E+02   0.599670E+05   0.956584E+01
  1935   0.206078E+03   0.116124E+02  -0.127263E+02   0.599008E+05   0.959471E+01
  1936   0.205860E+03   0.116021E+02  -0.129290E+02   0.598347E+05   0.962316E+01
  1937   0.205650E+03   0.115881E+02  -0.131298E+02   0.597687E+05   0.965118E+01
  1938   0.205463E+03   0.115748E+02  -0.133295E+02   0.597029E+05   0.967877E+01
  1939   0.205290E+03   0.115593E+02  -0.135280E+02   0.596371E+05   0.970592E+01
  1940   0.205126E+03   0.115431E+02  -0.137254E+02   0.595714E+05   0.973264E+01
  1941   0.204984E+03   0.115254E+02  -0.139201E+02   0.595058E+05   0.975891E+01
  1942   0.204843E+03   0.115063E+02  -0.141137E+02   0.594403E+05   0.978474E+01
  1943   0.204724E+03   0.114864E+02  -0.143062E+02   0.593749E+05   0.981013E+01
  1944   0.204621E+03   0.114635E+02  -0.144960E+02   0.593097E+05   0.983506E+01
  1945   0.204519E+03   0.114414E+02  -0.146832E+02   0.592445E+05   0.985954E+01
  1946   0.204439E+03   0.114171E+02  -0.148700E+02   0.591794E+05   0.988356E+01
  1947   0.204360E+03   0.113921E+02  -0.150534E+02   0.591144E+05   0.990712E+01
  1948   0.204311E+03   0.113655E+02  -0.152357E+02   0.590495E+05   0.993023E+01
  1949   0.204263E+03   0.113368E+02  -0.154146E+02   0.589847E+05   0.995286E+01
  1950   0.204231E+03   0.113080E+02  -0.155924E+02   0.589200E+05   0.997503E+01
  1951   0.204214E+03   0.112785E+02  -0.157668E+02   0.588554E+05   0.999673E+01
  1952   0.204205E+03   0.112460E+02  -0.159394E+02   0.587909E+05   0.100179E+02
  1953   0.204212E+03   0.112136E+02  -0.161093E+02   0.587264E+05   0.100387E+02
  1954   0.204227E+03   0.111796E+02  -0.162765E+02   0.586621E+05   0.100590E+02
  1955   0.204251E+03   0.111448E+02  -0.164419E+02   0.585979E+05   0.100788E+02
  1956   0.204282E+03   0.111086E+02  -0.166038E+02   0.585338E+05   0.100981E+02
  1957   0.204359E+03   0.110709E+02  -0.167631E+02   0.584697E+05   0.101170E+02
  1958   0.204392E+03   0.110324E+02  -0.169198E+02   0.584058E+05   0.101354E+02
  1959   0.204463E+03   0.109925E+02  -0.170738E+02   0.583420E+05   0.101533E+02
  1960   0.204535E+03   0.109525E+02  -0.172251E+02   0.582782E+05   0.101707E+02
  1961   0.204623E+03   0.109110E+02  -0.173729E+02   0.582145E+05   0.101877E+02
  1962   0.204718E+03   0.108687E+02  -0.175174E+02   0.581510E+05   0.102042E+02
  1963   0.204822E+03   0.108250E+02  -0.176584E+02   0.580875E+05   0.102202E+02
  1964   0.204935E+03   0.107805E+02  -0.177967E+02   0.580242E+05   0.102357E+02
  1965   0.205063E+03   0.107344E+02  -0.179316E+02   0.579609E+05   0.102507E+02
  1966   0.205192E+03   0.106869E+02  -0.180638E+02   0.578977E+05   0.102653E+02
  1967   0.205337E+03   0.106393E+02  -0.181925E+02   0.578346E+05   0.102794E+02
  1968   0.205475E+03   0.105902E+02  -0.183178E+02   0.577716E+05   0.102930E+02
  1969   0.205636E+03   0.105404E+02  -0.184396E+02   0.577087E+05   0.103062E+02
  1970   0.205791E+03   0.104913E+02  -0.185579E+02   0.576459E+05   0.103188E+02
  1971   0.205962E+03   0.104399E+02  -0.186727E+02   0.575832E+05   0.103310E+02
  1972   0.206134E+03   0.103869E+02  -0.187834E+02   0.575205E+05   0.103427E+02
  1973   0.206314E+03   0.103347E+02  -0.188913E+02   0.574580E+05   0.103539E+02
  1974   0.206510E+03   0.102803E+02  -0.189956E+02   0.573956E+05   0.103647E+02
  1975   0.206699E+03   0.102258E+02  -0.190965E+02   0.573332E+05   0.103749E+02
  1976   0.206897E+03   0.101697E+02  -0.191932E+02   0.572709E+05   0.103847E+02
  1977   0.207103E+03   0.101137E+02  -0.192863E+02   0.572088E+05   0.103940E+02
  1978   0.207310E+03   0.100568E+02  -0.193752E+02   0.571467E+05   0.104028E+02
  1979   0.207526E+03   0.999915E+01  -0.194605E+02   0.570847E+05   0.104111E+02
  1980   0.207750E+03   0.994072E+01  -0.195423E+02   0.570228E+05   0.104190E+02
  1981   0.207968E+03   0.988150E+01  -0.196199E+02   0.569610E+05   0.104263E+02
  1982   0.208194E+03   0.982149E+01  -0.196939E+02   0.568993E+05   0.104332E+02
  1983   0.208428E+03   0.976069E+01  -0.197644E+02   0.568377E+05   0.104396E+02
  1984   0.208664E+03   0.969984E+01  -0.198306E+02   0.567761E+05   0.104455E+02
  1985   0.208908E+03   0.963745E+01  -0.198932E+02   0.567147E+05   0.104509E+02
  1986   0.209146E+03   0.957500E+01  -0.199515E+02   0.566534E+05   0.104559E+02
  1987   0.209385E+03   0.951251E+01  -0.200063E+02   0.565921E+05   0.104603E+02
  1988   0.209633E+03   0.944921E+01  -0.200567E+02   0.565309E+05   0.104643E+02
  1989   0.209881E+03   0.938585E+01  -0.201021E+02   0.564698E+05   0.104678E+02
  1990   0.210138E+03   0.932169E+01  -0.201454E+02   0.564088E+05   0.104707E+02
  1991   0.210382E+03   0.925599E+01  -0.201836E+02   0.563479E+05   0.104732E+02
  1992   0.210626E+03   0.919096E+01  -0.202182E+02   0.562871E+05   0.104752E+02
  1993   0.210879E+03   0.912587E+01  -0.202485E+02   0.562264E+05   0.104768E+02
  1994   0.211134E+03   0.905923E+01  -0.202752E+02   0.561657E+05   0.104778E+02
  1995   0.211397E+03   0.899253E+01  -0.202983E+02   0.561052E+05   0.104783E+02
  1996   0.211646E+03   0.892501E+01  -0.203170E+02   0.560447E+05   0.104784E+02
  1997   0.211896E+03   0.885742E+01  -0.203306E+02   0.559843E+05   0.104780E+02
  1998   0.212155E+03   0.879051E+01  -0.203406E+02   0.559241E+05   0.104770E+02
  1999   0.212408E+03   0.872203E+01  -0.203477E+02   0.558639E+05   0.104756E+02
  2000   0.212655E+03   0.865423E+01  -0.203497E+02   0.558037E+05   0.104737E+02
  2001   0.212910E+03   0.858635E+01  -0.203480E+02   0.557437E+05   0.104713E+02
  2002   0.213159E+03   0.851765E+01  -0.203427E+02   0.556838E+05   0.104684E+02
  2003   0.213409E+03   0.844887E+01  -0.203330E+02   0.556239E+05   0.104650E+02
  2004   0.213661E+03   0.838002E+01  -0.203196E+02   0.555642E+05   0.104612E+02
  2005   0.213899E+03   0.831036E+01  -0.203019E+02   0.555045E+05   0.104568E+02
  2006   0.214145E+03   0.824210E+01  -0.202812E+02   0.554449E+05   0.104520E+02
  2007   0.214378E+03   0.817228E+01  -0.202553E+02   0.553854E+05   0.104467E+02
  2008   0.214619E+03   0.810239E+01  -0.202265E+02   0.553259E+05   0.104409E+02
  2009   0.214854E+03   0.803317E+01  -0.201925E+02   0.552666E+05   0.104347E+02
  2010   0.215075E+03   0.796387E+01  -0.201556E+02   0.552074E+05   0.104280E+02
  2011   0.215305E+03   0.789375E+01  -0.201150E+02   0.551482E+05   0.104208E+02
  2012   0.215529E+03   0.782430E+01  -0.200706E+02   0.550891E+05   0.104131E+02
  2013   0.215738E+03   0.775404E+01  -0.200226E+02   0.550301E+05   0.104050E+02
  2014   0.215956E+03   0.768519E+01  -0.199693E+02   0.549712E+05   0.103964E+02
  2015   0.216168E+03   0.761552E+01  -0.199146E+02   0.549124E+05   0.103874E+02
  2016   0.216381E+03   0.754652E+01  -0.198546E+02   0.548536E+05   0.103779E+02
  2017   0.216573E+03   0.747745E+01  -0.197917E+02   0.547950E+05   0.103680E+02
  2018   0.216765E+03   0.740845E+01  -0.197250E+02   0.547364E+05   0.103576E+02
  2019   0.216951E+03   0.733953E+01  -0.196531E+02   0.546779E+05   0.103468E+02
  2020   0.217139E+03   0.727068E+01  -0.195797E+02   0.546195E+05   0.103355E+02
  2021   0.217319E+03   0.720250E+01  -0.195017E+02   0.545612E+05   0.103238E+02
  2022   0.217486E+03   0.713440E+01  -0.194208E+02   0.545029E+05   0.103116E+02
  2023   0.217647E+03   0.706652E+01  -0.193360E+02   0.544448E+05   0.102990E+02
  2024   0.217808E+03   0.699887E+01  -0.192483E+02   0.543867E+05   0.102860E+02
  2025   0.217948E+03   0.693151E+01  -0.191567E+02   0.543287E+05   0.102725E+02
  2026   0.218096E+03   0.686446E+01  -0.190621E+02   0.542708E+05   0.102586E+02
  2027   0.218238E+03   0.679785E+01  -0.189638E+02   0.542130E+05   0.102443E+02
  2028   0.218359E+03   0.673154E+01  -0.188623E+02   0.541553E+05   0.102296E+02
  2029   0.218487E+03   0.666561E+01  -0.187578E+02   0.540976E+05   0.102144E+02
  2030   0.218595E+03   0.660005E+01  -0.186503E+02   0.540400E+05   0.101988E+02
  2031   0.218695E+03   0.653494E+01  -0.185397E+02   0.539825E+05   0.101828E+02
  2032   0.218797E+03   0.647020E+01  -0.184259E+02   0.539251E+05   0.101664E+02
  2033   0.218885E+03   0.640606E+01  -0.183092E+02   0.538678E+05   0.101496E+02
  2034   0.218973E+03   0.634236E+01  -0.181893E+02   0.538105E+05   0.101324E+02
  2035   0.219040E+03   0.627912E+01  -0.180663E+02   0.537534E+05   0.101147E+02
  2036   0.219100E+03   0.621640E+01  -0.179410E+02   0.536963E+05   0.100967E+02
  2037   0.219162E+03   0.615428E+01  -0.178125E+02   0.536393E+05   0.100782E+02
  2038   0.219194E+03   0.609260E+01  -0.176817E+02   0.535824E+05   0.100594E+02
  2039   0.219234E+03   0.603160E+01  -0.175470E+02   0.535255E+05   0.100401E+02
  2040   0.219268E+03   0.597112E+01  -0.174107E+02   0.534688E+05   0.100205E+02
  2041   0.219280E+03   0.591117E+01  -0.172713E+02   0.534121E+05   0.100004E+02
  2042   0.219293E+03   0.585196E+01  -0.171302E+02   0.533555E+05   0.998002E+01
  2043   0.219284E+03   0.579335E+01  -0.169852E+02   0.532990E+05   0.995921E+01
  2044   0.219283E+03   0.573534E+01  -0.168386E+02   0.532425E+05   0.993802E+01
  2045   0.219261E+03   0.567800E+01  -0.166895E+02   0.531862E+05   0.991644E+01
  2046   0.219240E+03   0.562134E+01  -0.165388E+02   0.531299E+05   0.989449E+01
  2047   0.219197E+03   0.556535E+01  -0.163856E+02   0.530737E+05   0.987215E+01
  2048   0.219147E+03   0.551010E+01  -0.162293E+02   0.530176E+05   0.984945E+01
  2049   0.219090E+03   0.545561E+01  -0.160721E+02   0.529615E+05   0.982637E+01
  2050   0.219019E+03   0.540179E+01  -0.159116E+02   0.529056E+05   0.980292E+01
  2051   0.218927E+03   0.534871E+01  -0.157502E+02   0.528497E+05   0.977910E+01
  2052   0.218842E+03   0.529646E+01  -0.155863E+02   0.527939E+05   0.975493E+01
  2053   0.218736E+03   0.524496E+01  -0.154200E+02   0.527381E+05   0.973039E+01
  2054   0.218623E+03   0.519421E+01  -0.152528E+02   0.526825E+05   0.970550E+01
  2055   0.218495E+03   0.514422E+01  -0.150838E+02   0.526269E+05   0.968026E+01
  2056   0.218361E+03   0.509513E+01  -0.149131E+02   0.525714E+05   0.965468E+01
  2057   0.218219E+03   0.504686E+01  -0.147400E+02   0.525160E+05   0.962876E+01
  2058   0.218064E+03   0.499936E+01  -0.145667E+02   0.524607E+05   0.960249E+01
  2059   0.217901E+03   0.495276E+01  -0.143909E+02   0.524054E+05   0.957590E+01
  2060   0.217724E+03   0.490685E+01  -0.142133E+02   0.523503E+05   0.954898E+01
  2061   0.217539E+03   0.486192E+01  -0.140349E+02   0.522952E+05   0.952174E+01
  2062   0.217341E+03   0.481790E+01  -0.138554E+02   0.522401E+05   0.949417E+01
  2063   0.217135E+03   0.477472E+01  -0.136742E+02   0.521852E+05   0.946629E+01
  2064   0.216907E+03   0.473245E+01  -0.134921E+02   0.521303E+05   0.943811E+01
  2065   0.216673E+03   0.469110E+01  -0.133090E+02   0.520755E+05   0.940961E+01
  2066   0.216438E+03   0.465066E+01  -0.131256E+02   0.520208E+05   0.938081E+01
  2067   0.216182E+03   0.461106E+01  -0.129405E+02   0.519662E+05   0.935172E+01
  2068   0.215911E+03   0.457239E+01  -0.127552E+02   0.519116E+05   0.932234E+01
  2069   0.215640E+03   0.453471E+01  -0.125682E+02   0.518571E+05   0.929266E+01
  2070   0.215347E+03   0.449794E+01  -0.123817E+02   0.518027E+05   0.926270E+01
  2071   0.215047E+03   0.446211E+01  -0.121942E+02   0.517484E+05   0.923246E+01
  2072   0.214739E+03   0.442726E+01  -0.120057E+02   0.516941E+05   0.920195E+01
  2073   0.214417E+03   0.439335E+01  -0.118170E+02   0.516399E+05   0.917116E+01
  2074   0.214088E+03   0.436036E+01  -0.116280E+02   0.515858E+05   0.914011E+01
  2075   0.213744E+03   0.432829E+01  -0.114380E+02   0.515318E+05   0.910880E+01
  2076   0.213385E+03   0.429723E+01  -0.112479E+02   0.514779E+05   0.907723E+01
  2077   0.213026E+03   0.426718E+01  -0.110582E+02   0.514240E+05   0.904540E+01
  2078   0.212652E+03   0.423805E+01  -0.108675E+02   0.513702E+05   0.901332E+01
  2079   0.212249E+03   0.420994E+01  -0.106773E+02   0.513164E+05   0.898100E+01
  2080   0.211860E+03   0.418275E+01  -0.104861E+02   0.512628E+05   0.894844E+01
  2081   0.211449E+03   0.415665E+01  -0.102962E+02   0.512092E+05   0.891565E+01
  2082   0.211031E+03   0.413141E+01  -0.101052E+02   0.511557E+05   0.888262E+01
  2083   0.210605E+03   0.410719E+01  -0.991628E+01   0.511023E+05   0.884936E+01
  2084   0.210157E+03   0.408405E+01  -0.972633E+01   0.510489E+05   0.881588E+01
