#    L    TT             EE             TE             PP             TP          
    75   0.193751E+04   0.375927E+00  -0.801769E+01   0.502615E+07   0.917739E+04
    76   0.196273E+04   0.389326E+00  -0.850934E+01   0.499630E+07   0.904710E+04
    77   0.198829E+04   0.402889E+00  -0.901144E+01   0.496639E+07   0.891918E+04
    78   0.201420E+04   0.416641E+00  -0.952538E+01   0.493644E+07   0.879304E+04
    79   0.204029E+04   0.430528E+00  -0.100474E+02   0.490646E+07   0.866808E+04
    80   0.206666E+04   0.444553E+00  -0.105788E+02   0.487649E+07   0.854372E+04
    81   0.209320E+04   0.458667E+00  -0.111201E+02   0.484653E+07   0.841956E+04
    82   0.212000E+04   0.472890E+00  -0.116703E+02   0.481661E+07   0.829613E+04
    83   0.214698E+04   0.487197E+00  -0.122289E+02   0.478673E+07   0.817416E+04
    84   0.217422E+04   0.501587E+00  -0.127940E+02   0.475691E+07   0.805440E+04
    85   0.220158E+04   0.516032E+00  -0.133666E+02   0.472716E+07   0.793757E+04
    86   0.222914E+04   0.530547E+00  -0.139456E+02   0.469750E+07   0.782424E+04
    87   0.225712E+04   0.545100E+00  -0.145303E+02   0.466792E+07   0.771435E+04
    88   0.228509E+04   0.559706E+00  -0.151208E+02   0.463845E+07   0.760764E+04
    89   0.231340E+04   0.574352E+00  -0.157187E+02   0.460908E+07   0.750387E+04
    90   0.234193E+04   0.588999E+00  -0.163211E+02   0.457983E+07   0.740280E+04
    91   0.237058E+04   0.603641E+00  -0.169288E+02   0.455069E+07   0.730421E+04
    92   0.239952E+04   0.618263E+00  -0.175412E+02   0.452168E+07   0.720800E+04
    93   0.242874E+04   0.632859E+00  -0.181583E+02   0.449280E+07   0.711408E+04
    94   0.245803E+04   0.647392E+00  -0.187787E+02   0.446405E+07   0.702239E+04
    95   0.248759E+04   0.661863E+00  -0.194030E+02   0.443543E+07   0.693284E+04
    96   0.251715E+04   0.676257E+00  -0.200307E+02   0.440694E+07   0.684535E+04
    97   0.254714E+04   0.690562E+00  -0.206610E+02   0.437860E+07   0.675985E+04
    98   0.257735E+04   0.704770E+00  -0.212917E+02   0.435039E+07   0.667625E+04
    99   0.260761E+04   0.718844E+00  -0.219258E+02   0.432233E+07   0.659448E+04
